{0: 9, 1: 3, 2: 5, 3: 6, 4: 4, 5: 9} 0.5561918087947966
{0: 8, 1: 4, 2: 6, 3: 8, 4: 6, 5: 4} 0.6064878233280225
{0: 8, 1: 4, 2: 5, 3: 9, 4: 3, 5: 7} 0.5779269772026676
{0: 6, 1: 3, 2: 7, 3: 5, 4: 5, 5: 10} 0.5650046347194378
{0: 8, 1: 3, 2: 4, 3: 7, 4: 9, 5: 5} 0.6191612823572986
{0: 6, 1: 3, 2: 5, 3: 8, 4: 7, 5: 7} 0.5945159412791826
{0: 8, 1: 3, 2: 4, 3: 8, 4: 7, 5: 6} 0.5951097340866467
{0: 6, 1: 3, 2: 5, 3: 8, 4: 7, 5: 7} 0.5945159412791826
{0: 7, 1: 2, 2: 4, 3: 9, 4: 9, 5: 5} 0.5827498290151074
{0: 6, 1: 2, 2: 5, 3: 6, 4: 10, 5: 7} 0.595985725456074
{0: 7, 1: 2, 2: 7, 3: 3, 4: 12, 5: 5} 0.6077655557058002
{0: 6, 1: 3, 2: 6, 3: 8, 4: 8, 5: 5} 0.5990252391338856
{0: 6, 1: 3, 2: 7, 3: 3, 4: 11, 5: 6} 0.635244640676963
{0: 7, 1: 3, 2: 5, 3: 7, 4: 8, 5: 6} 0.604516352818752
{0: 6, 1: 4, 2: 9, 3: 7, 4: 5, 5: 5} 0.5836219009600631
{0: 8, 1: 3, 2: 4, 3: 5, 4: 7, 5: 9} 0.6008536506499386
{0: 8, 1: 4, 2: 8, 3: 7, 4: 5, 5: 4} 0.5842156937675271
{0: 8, 1: 3, 2: 7, 3: 7, 4: 7, 5: 4} 0.5773469023808544
{0: 8, 1: 4, 2: 5, 3: 9, 4: 4, 5: 6} 0.5889954319107782
{0: 5, 1: 3, 2: 8, 3: 8, 4: 6, 5: 6} 0.5667526980338207
{0: 7, 1: 3, 2: 5, 3: 7, 4: 6, 5: 8} 0.5823794434025308
{0: 7, 1: 3, 2: 8, 3: 5, 4: 7, 5: 6} 0.5775997052592797
{0: 8, 1: 3, 2: 4, 3: 7, 4: 7, 5: 7} 0.5970243729410774
{0: 3, 1: 2, 2: 7, 3: 8, 4: 9, 5: 7} 0.5769177254012021
{0: 6, 1: 3, 2: 7, 3: 8, 4: 7, 5: 5} 0.5813976275723672
{0: 6, 1: 4, 2: 9, 3: 8, 4: 5, 5: 4} 0.5817072621056324
{0: 2, 1: 3, 2: 8, 3: 9, 4: 7, 5: 7} 0.584854559956416
{0: 4, 1: 2, 2: 7, 3: 5, 4: 10, 5: 8} 0.5907474146496329
{0: 9, 1: 4, 2: 7, 3: 6, 4: 3, 5: 7} 0.5675698980361724
{0: 4, 1: 2, 2: 7, 3: 8, 4: 7, 5: 8} 0.551798133962009
{0: 7, 1: 1, 2: 5, 3: 8, 4: 10, 5: 5} 0.5536089080679393
{0: 6, 1: 3, 2: 4, 3: 8, 4: 3, 5: 12} 0.5568012793001476
{0: 9, 1: 4, 2: 5, 3: 11, 4: 5, 5: 2} 0.5932519268870559
{0: 6, 1: 3, 2: 5, 3: 7, 4: 7, 5: 8} 0.5964305801336132
{0: 6, 1: 3, 2: 3, 3: 7, 4: 3, 5: 14} 0.5652750750079858
{0: 8, 1: 4, 2: 5, 3: 5, 4: 7, 5: 7} 0.6298593514528327
{0: 4, 1: 2, 2: 6, 3: 5, 4: 6, 5: 13} 0.5530327526705978
